,,,,,,,,,,,,"Survey","Participant","Question 1","Question 2","Question 3","{{Q://Q4/ChoiceTextEntryValue}}","{{Q://Q5/ChoiceTextEntryValue}}.1","{{Q://Q5/ChoiceTextEntryValue}}.2","{{Q://Q5/ChoiceTextEntryValue}}.3","{{Q://Q5/ChoiceTextEntryValue}}.4","{{Q://Q5/ChoiceTextEntryValue}}.5","{{Q://Q5/ChoiceTextEntryValue}}.6","{{Q://Q5/ChoiceTextEntryValue}}.7","Question 6","Question 7","Question 8","Question 9","Question 10","Question 11","Question 12","Question 13","Question 14","Question 15","Question 16","Question 17","Question 18","Question 19","Question 20","Question 21","Question 22","Question 23","Question 24","Question 25"
"02/11/2025 08:09PM","02/11/2025 08:14PM","02/11/2025 05:00PM - 02/11/2025 11:00PM",266.494,"3","1","Finished","67a732e893e9af3878fe7867",,,"no","-","192.168.68.50","Participant 11","2","2","4","לא היה שום דבר שעצבן אותי","No","No","No","No","No","Yes","","1","2","1","2","3","1","1","1","1","1","1","5","3","2","1","1","2","2","3",
"02/12/2025 06:39PM","02/12/2025 06:41PM","02/12/2025 05:00PM - 02/12/2025 11:00PM",127.543,"4","1","Finished","67a732e893e9af3878fe7867",,,"no","-","192.168.68.50","Participant 11","1","1","1","לא הקשיבו לי בחוג","No","No","No","No","No","Yes","","1","3","1","3","4","1","2","1","3","1","1","2","2","1","1","1","1","1","5",
"02/13/2025 10:07PM","02/13/2025 10:08PM","02/13/2025 05:00PM - 02/13/2025 11:00PM",86.358,"5","1","Finished","67a732e893e9af3878fe7867",,,"no","-","192.168.68.62","Participant 11","1","1","1","לא היה","No","No","No","No","No","Yes","","1","5","1","2","5","1","3","2","3","2","1","3","1","1","1","1","1","1","6",
"02/14/2025 06:03PM","02/14/2025 06:06PM","02/14/2025 05:00PM - 02/14/2025 11:00PM",181.167,"6","1","Finished","67a732e893e9af3878fe7867",,,"no","-","192.168.68.62","Participant 11","1","1","2","אין","No","No","No","No","No","Yes","","1","2","1","1","3","2","2","2","2","2","1","3","2","1","1","1","1","1","5",
"02/15/2025 05:58PM","02/15/2025 05:59PM","02/15/2025 05:00PM - 02/15/2025 11:00PM",78.541,"7","1","Finished","67a732e893e9af3878fe7867",,,"no","-","192.168.68.62","Participant 11","1","2","3","הספר שקראתי","No","No","No","No","No","Yes","","1","1","1","2","4","1","1","2","3","1","1","3","2","1","1","1","3","1","5",
"02/16/2025 07:53PM","02/16/2025 07:57PM","02/16/2025 05:00PM - 02/16/2025 11:00PM",192.808,"8","1","Finished","67a732e893e9af3878fe7867",,,"no","-","192.168.68.51","Participant 11","1","1","5","איו","No","No","No","No","No","Yes","","3","6","2","5","6","1","3","3","3","2","1","1","1","1","1","1","3","1","3",
"02/14/2025 05:10PM","02/14/2025 05:12PM","02/14/2025 05:00PM - 02/14/2025 11:00PM",118.249,"2","1","Finished","67ae0b1458056d402b045614",,,"no","-","192.168.0.157","Participant 12","2","1","1","רק משחקי מחשב","No","No","No","No","No","Yes","","1","3","1","1","4","1","2","5","1","1","1","1","1","1","1","1","1","1","5",
"02/15/2025 07:00PM","02/15/2025 07:01PM","02/15/2025 05:00PM - 02/15/2025 11:00PM",84.609,"3","1","Finished","67ae0b1458056d402b045614",,,"no","-","192.168.0.157","Participant 12","4","3","1","שנשברה לי משהו","Yes","Yes","No","No","No","No","","1","1","1","5","5","1","1","5","5","1","1","1","1","1","1","1","1","1","6",
"02/16/2025 05:30PM","02/16/2025 05:31PM","02/16/2025 05:00PM - 02/16/2025 11:00PM",67.969,"4","1","Finished","67ae0b1458056d402b045614",,,"no","-","192.168.0.157","Participant 12","1","1","1","לא היה","No","No","No","No","No","Yes","","1","1","1","6","5","1","5","1","3","1","1","1","1","1","1","1","1","1","7",
"02/17/2025 05:19PM","02/17/2025 05:20PM","02/17/2025 05:00PM - 02/17/2025 11:00PM",60.655,"5","1","Finished","67ae0b1458056d402b045614",,,"no","-","192.168.0.157","Participant 12","1","1","1","לא היה ","No","No","No","No","No","Yes","","1","1","1","6","6","1","5","1","6","5","1","1","1","1","1","1","1","1","7",
"02/18/2025 05:06PM","02/18/2025 05:08PM","02/18/2025 05:00PM - 02/18/2025 11:00PM",70.652,"6","1","Finished","67ae0b1458056d402b045614",,,"no","-","192.168.0.157","Participant 12","1","1","1","לא היה ","No","No","No","No","No","Yes","","1","1","1","5","6","1","1","1","5","1","1","2","1","1","1","1","1","1","7",
"02/19/2025 05:31PM","02/19/2025 05:32PM","02/19/2025 05:00PM - 02/19/2025 11:00PM",56.181,"7","1","Finished","67ae0b1458056d402b045614",,,"no","-","192.168.0.157","Participant 12","1","1","1","לא היה","No","No","No","No","No","Yes","","1","1","1","5","5","1","5","5","5","3","1","1","1","1","1","1","1","1","7",
"02/20/2025 05:53PM","02/20/2025 05:55PM","02/20/2025 05:00PM - 02/20/2025 11:00PM",128.744,"8","1","Finished","67ae0b1458056d402b045614",,,"no","-","10.169.153.81","Participant 12","1","1","1","לא זוכר שהתעצבנתי היום","No","No","No","No","No","Yes","","2","5","2","3","5","3","6","6","5","6","1","1","4","2","2","3","2","1","6",
"03/04/2025 05:02PM","03/04/2025 05:05PM","03/04/2025 05:00PM - 03/04/2025 11:00PM",160.262,"2","1","Finished","67c5bb3e46dea88167dc5c41","0.0","0.0","no","-","10.0.0.10","Participant 13","6","6","5","חיפשתי סדרה הרבה מאוד זמן ולא מצאתי אותה בסוף","Yes","No","No","No","No","No","","1","1","1","5","5","1","5","1","6","6","1","5","1","1","1","5","6","5","1",
"03/05/2025 07:00PM","03/05/2025 07:03PM","03/05/2025 05:00PM - 03/05/2025 11:00PM",176.119,"3","1","Finished","67c5bb3e46dea88167dc5c41","0.0","0.0","no","-","2a06:c701:4273:1c00:81f6:f6cc:c10d:bde3","Participant 13","5","1","1","הלכנו לקנות תחפושות והיה שם משהו שחשבתי שיהיה מתאים לתחפושת אבל החברים פחות רצו אז נאלצנו לוותר ","No","No","No","No","No","Yes","","4","1","1","1","6","4","1","1","1","5","1","1","1","1","1","5","5","1","5",
"03/06/2025 06:11PM","03/06/2025 06:14PM","03/06/2025 05:00PM - 03/06/2025 11:00PM",142.409,"4","1","Finished","67c5bb3e46dea88167dc5c41","0.0","0.0","no","-","2001:40a8:7fd:6281:e926:9935:9d87:847b","Participant 13","5","1","1","שאחותי לא פתחה בהרכב בקבוצת הכדורגל ","No","No","No","No","No","Yes","","1","2","1","5","5","1","6","5","5","5","1","1","1","1","1","5","5","1","6",
"03/07/2025 06:04PM","03/07/2025 06:06PM","03/07/2025 05:00PM - 03/07/2025 11:00PM",96.926,"5","1","Finished","67c5bb3e46dea88167dc5c41","0.0","0.0","no","-","10.0.0.4","Participant 13","5","5","6","לא ניצחתי שמשחק פינגפונג","Yes","No","No","No","No","No","","1","1","5","1","4","1","5","1","5","4","1","1","4","1","4","4","1","1","6",
"03/08/2025 08:36PM","03/08/2025 08:38PM","03/08/2025 05:00PM - 03/08/2025 11:00PM",145.364,"6","1","Finished","67c5bb3e46dea88167dc5c41","0.0","0.0","no","-","2a06:c701:4273:1c00:4559:975d:2da4:922e","Participant 13","4","1","1","אמא שלי אמרה משהו שלא אהבתי","Yes","No","No","No","No","No","","1","6","1","5","5","1","5","6","5","5","1","5","5","1","1","1","5","1","5",
"03/09/2025 07:01PM","03/09/2025 07:03PM","03/09/2025 05:00PM - 03/09/2025 11:00PM",143.883,"7","1","Finished","67c5bb3e46dea88167dc5c41","0.0","0.0","no","-","2a06:c701:4273:1c00:e497:e77d:1547:f6f3","Participant 13","5","1","1","קיבלתי ציון ממש קרוב למאה והמורה לא עיגלה לי","No","No","No","No","No","Yes","","1","5","1","4","5","1","5","1","1","4","1","3","1","1","1","5","5","1","5",
"03/10/2025 07:42PM","03/10/2025 07:43PM","03/10/2025 05:00PM - 03/10/2025 11:00PM",102.688,"8","1","Finished","67c5bb3e46dea88167dc5c41","0.0","0.0","no","-","10.228.14.39","Participant 13","5","1","1","קיבלתי ציון לא טוב במבחן","Yes","No","No","No","No","No","","5","1","5","5","1","1","5","1","5","5","1","5","1","1","1","5","5","1","6",
"03/06/2025 06:38PM","03/06/2025 06:41PM","03/06/2025 05:00PM - 03/06/2025 11:00PM",221.848,"2","1","Finished","67acc2310d20b7dd4d0e1506",,,"no","-","192.168.68.105","Participant 14","1","5","1","האוטובוס איחר","No","No","No","No","No","Yes","","1","6","1","6","7","1","3","4","5","5","1","2","7","4","5","4","5","2","2",
"03/07/2025 07:56PM","03/07/2025 08:00PM","03/07/2025 05:00PM - 03/07/2025 11:00PM",216.19,"3","1","Finished","67acc2310d20b7dd4d0e1506",,,"no","-","192.168.68.105","Participant 14","7","6","3","הייתה לי תחרות אבל לא הלך לי טוב ","Yes","No","No","No","No","No","","7","7","6","3","6","7","7","7","7","5","6","3","5","2","7","6","6","6","5",
"03/08/2025 07:50PM","03/08/2025 07:55PM","03/08/2025 05:00PM - 03/08/2025 11:00PM",287.049,"4","1","Finished","67acc2310d20b7dd4d0e1506",,,"no","-","192.168.68.100","Participant 14","2","5","4","אחותי היא נודניקית צ׳אחלה וקוטרית שעושה דווקא כל הזמן","No","No","No","No","No","Yes","","5","3","5","2","4","6","3","3","4","3","3","5","4","1","4","5","5","5","5",
"03/09/2025 09:22PM","03/09/2025 09:30PM","03/09/2025 05:00PM - 03/09/2025 11:00PM",444.608,"5","1","Finished","67acc2310d20b7dd4d0e1506",,,"no","-","192.168.68.104","Participant 14","3","5","3","אחותי מאוד רצינית","No","No","No","No","No","Yes","","5","6","5","2","5","6","3","2","3","4","7","5","7","3","5","6","6","3","4",
"03/10/2025 09:28PM","03/10/2025 09:32PM","03/10/2025 05:00PM - 03/10/2025 11:00PM",185.668,"6","1","Finished","67acc2310d20b7dd4d0e1506",,,"no","-","192.168.68.103","Participant 14","3","5","1","לא הלך לי טוב באימון ","No","No","No","No","No","Yes","","6","7","5","2","4","4","5","3","5","1","5","3","5","2","2","5","6","2","6",
"03/11/2025 09:47PM","03/11/2025 09:50PM","03/11/2025 05:00PM - 03/11/2025 11:00PM",185.565,"7","1","Finished","67acc2310d20b7dd4d0e1506",,,"no","-","192.168.68.101","Participant 14","7","5","2","האוטובוס לא הגיע ואיחרתי לאימון","No","No","No","No","No","Yes","","5","5","2","2","3","6","2","3","5","4","5","2","6","3","4","3","5","5","6",
"03/12/2025 10:20PM","03/12/2025 10:27PM","03/12/2025 05:00PM - 03/12/2025 11:00PM",427.401,"8","1","Finished","67acc2310d20b7dd4d0e1506",,,"no","-","192.168.68.101","Participant 14","2","3","1","התחרות תחפושות בבית ספר הייתה מכורה","No","No","No","No","No","Yes","","1","7","4","6","5","3","2","6","3","2","4","3","6","3","2","5","5","5","7",
"03/12/2025 07:25PM","03/12/2025 07:28PM","03/12/2025 05:00PM - 03/12/2025 11:00PM",180.66,"2","1","Finished","67d0790946dea881674c20be","0.0","0.0","no","-","2a06:c701:746e:ec00:fc3e:c6e7:9639:38f3","Participant 15","1","2","1","לא היה","No","No","No","No","No","Yes","","3","5","1","4","7","3","5","1","2","3","1","1","3","4","2","3","2","1","5",
"03/14/2025 08:59PM","03/14/2025 09:02PM","03/14/2025 05:00PM - 03/14/2025 11:00PM",145.845,"4","1","Finished","67d0790946dea881674c20be","0.0","0.0","no","-","192.168.0.47","Participant 15","4","4","2","אבא ","Yes","No","No","No","No","No","","3","5","3","1","4","5","3","1","2","4","1","3","2","2","1","2","2","4","4",
"03/15/2025 10:59PM","03/15/2025 11:00PM","03/15/2025 05:00PM - 03/15/2025 11:00PM",48.513,"5","1","Auto Submitted","67d0790946dea881674c20be","0.0","0.0","no","-","192.168.0.47","Participant 15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"03/16/2025 10:40PM","03/16/2025 10:41PM","03/16/2025 05:00PM - 03/16/2025 11:00PM",104.156,"6","1","Finished","67d0790946dea881674c20be","0.0","0.0","no","-","192.168.0.32","Participant 15","5","5","4","חבר שלי","No","No","No","No","No","Yes","","3","1","1","5","5","4","4","1","3","2","1","2","2","5","3","2","1","5","3",
"03/17/2025 07:46PM","03/17/2025 07:49PM","03/17/2025 05:00PM - 03/17/2025 11:00PM",194.933,"7","1","Finished","67d0790946dea881674c20be","0.0","0.0","no","-","10.100.102.134","Participant 15","3","4","1","לא היה","No","No","No","No","No","Yes","","1","1","1","4","4","3","1","1","1","1","1","3","4","2","3","2","2","3","5",
"03/18/2025 10:36PM","03/18/2025 10:38PM","03/18/2025 05:00PM - 03/18/2025 11:00PM",103.315,"8","1","Finished","67d0790946dea881674c20be","0.0","0.0","no","-","192.168.0.32","Participant 15","4","5","4","אין","Yes","No","No","No","No","No","","1","2","1","4","7","4","4","1","3","1","1","7","4","4","3","5","1","4","3",
"03/21/2025 07:15PM","03/21/2025 07:25PM","03/21/2025 05:00PM - 03/21/2025 11:00PM",601.344,"2","1","Finished","67dc5abb4a8aee02c0147db3","0.0","0.0","no","-","10.100.102.12","Participant 16","6","1","1","לא התעצבנתי ","No","No","No","No","No","Yes","","1","5","1","5","6","4","1","1","6","5","1","5","2","1","1","5","5","5","7",
"03/22/2025 06:46PM","03/22/2025 06:50PM","03/22/2025 05:00PM - 03/22/2025 11:00PM",256.538,"3","1","Finished","67dc5abb4a8aee02c0147db3","0.0","0.0","no","-","10.100.102.3","Participant 16","5","1","1","‏שאח של ניתאי הרביץ לי","No","No","No","No","No","Yes","","1","5","5","1","1","5","5","1","6","1","1","1","6","1","1","6","6","1","7",
"03/23/2025 09:31PM","03/23/2025 09:35PM","03/23/2025 05:00PM - 03/23/2025 11:00PM",218.688,"4","1","Finished","67dc5abb4a8aee02c0147db3","0.0","0.0","no","-","10.100.102.3","Participant 16","7","1","5","‏שאיבדתי משהו","Yes","No","No","No","No","No","","1","5","1","1","5","3","2","4","5","5","1","5","2","1","1","5","1","1","1",
"03/24/2025 08:40PM","03/24/2025 08:49PM","03/24/2025 05:00PM - 03/24/2025 11:00PM",554.963,"5","1","Finished","67dc5abb4a8aee02c0147db3","0.0","0.0","no","-","10.100.102.3","Participant 16","5","1","2","לא  יתצבענתי","No","No","No","No","No","Yes","","2","5","1","1","1","5","5","1","6","5","1","1","2","1","1","6","1","1","6",
"03/25/2025 09:27PM","03/25/2025 09:34PM","03/25/2025 05:00PM - 03/25/2025 11:00PM",405.544,"6","1","Finished","67dc5abb4a8aee02c0147db3","0.0","0.0","no","-","10.100.102.3","Participant 16","5","5","2","‏שהפסדתי במשחק כדורסל שלי","Yes","No","No","No","No","No","","1","4","1","4","1","1","1","1","5","1","1","1","2","1","4","5","2","5","5",
"03/26/2025 07:21PM","03/26/2025 07:29PM","03/26/2025 05:00PM - 03/26/2025 11:00PM",466.689,"7","1","Finished","67dc5abb4a8aee02c0147db3","0.0","0.0","no","-","10.100.102.3","Participant 16","5","5","4","כי אמא שלי אני אמרתי לה שה אני אמרתי לה שאני אוציא בשעה מסוימת והיא אמרה לי שאני לא יכולה בשעה","No","Yes","No","No","No","No","","5","5","5","1","1","5","2","1","1","1","1","1","5","1","1","5","1","1","1",
"03/27/2025 09:32PM","03/27/2025 09:41PM","03/27/2025 05:00PM - 03/27/2025 11:00PM",520.416,"8","1","Finished","67dc5abb4a8aee02c0147db3","0.0","0.0","no","-","10.100.102.3","Participant 16","5","1","1","‏לא התעצבנתי","Yes","No","No","No","No","No","","3","6","5","1","2","1","1","1","6","5","1","1","5","1","1","5","3","1","6",
"03/25/2025 05:28PM","03/25/2025 05:34PM","03/25/2025 05:00PM - 03/25/2025 11:00PM",360.147,"2","1","Finished","67d84bdac1ae9946c5b95905",,,"no","-","100.115.132.224","Participant 17","1","2","1","שיעור מדעים","No","No","No","No","No","Yes","","5","1","5","3","7","1","1","1","2","1","1","6","2","1","1","5","4","1","7",
"03/26/2025 07:51PM","03/26/2025 07:55PM","03/26/2025 05:00PM - 03/26/2025 11:00PM",233.625,"3","1","Finished","67d84bdac1ae9946c5b95905",,,"no","-","100.90.24.209","Participant 17","2","2","1","המורה שלי כי הי נתנה שעירים בית","Yes","No","No","No","No","No","","5","6","3","2","5","1","1","1","1","1","1","7","5","1","3","1","3","1","7",
"03/27/2025 07:17PM","03/27/2025 07:20PM","03/27/2025 05:00PM - 03/27/2025 11:00PM",194.062,"4","1","Finished","67d84bdac1ae9946c5b95905",,,"no","-","10.0.0.8","Participant 17","1","1","1","לא אצבן","No","No","No","No","No","Yes","","2","1","1","1","6","2","1","1","3","2","1","3","3","2","1","2","6","1","7",
"03/28/2025 08:54PM","03/28/2025 08:56PM","03/28/2025 05:00PM - 03/28/2025 11:00PM",111.9,"5","1","Finished","67d84bdac1ae9946c5b95905",,,"no","-","100.119.76.168","Participant 17","3","2","1","אין לי","No","No","No","No","No","Yes","","2","6","1","1","6","1","1","1","3","1","1","1","3","2","1","6","6","1","7",
"03/30/2025 05:14PM","03/30/2025 05:18PM","03/30/2025 05:00PM - 03/30/2025 11:00PM",245.674,"7","1","Finished","67d84bdac1ae9946c5b95905",,,"no","-","100.102.164.20","Participant 17","1","1","1","אין לי","No","No","No","No","No","Yes","","1","2","2","1","1","2","2","2","2","1","1","2","1","1","1","1","1","1","7",
"03/31/2025 08:38PM","03/31/2025 08:40PM","03/31/2025 05:00PM - 03/31/2025 11:00PM",120.236,"8","1","Finished","67d84bdac1ae9946c5b95905",,,"no","-","100.102.95.153","Participant 17","3","1","1","אין לי","No","No","No","No","No","Yes","","1","1","1","2","1","1","1","1","1","2","1","2","1","1","3","3","5","1","7",
"03/28/2025 06:47PM","03/28/2025 06:49PM","03/28/2025 05:00PM - 03/28/2025 11:00PM",124.716,"2","1","Finished","67e56a2a8cd70bc4d83b1af8","0.0","0.0","no","-","10.100.102.5","Participant 18","1","1","1","שום דבר","No","No","No","No","No","Yes","","1","5","1","1","5","1","6","6","5","5","1","4","1","1","1","1","1","1","7",
"03/29/2025 09:45PM","03/29/2025 09:48PM","03/29/2025 05:00PM - 03/29/2025 11:00PM",183.704,"3","1","Finished","67e56a2a8cd70bc4d83b1af8","0.0","0.0","no","-","10.100.102.5","Participant 18","4","5","5","שאחותי הרסה לכל המשפחה שלא רצתה להיכנס למים בבריכה","Yes","No","No","No","No","No","","1","7","5","1","1","1","4","7","4","7","1","1","1","4","4","1","1","5","3",
"03/30/2025 06:27PM","03/30/2025 06:29PM","03/30/2025 05:00PM - 03/30/2025 11:00PM",119.083,"4","1","Finished","67e56a2a8cd70bc4d83b1af8","0.0","0.0","no","-","10.100.102.5","Participant 18","1","7","1","שחבר שיקר למורה לגבי משהו","No","No","No","No","No","Yes","","1","1","1","1","7","1","5","6","5","1","1","1","1","1","7","1","1","7","1",
"03/31/2025 09:34PM","03/31/2025 09:36PM","03/31/2025 05:00PM - 03/31/2025 11:00PM",141.183,"5","1","Finished","67e56a2a8cd70bc4d83b1af8","0.0","0.0","no","-","10.100.102.5","Participant 18","1","1","1","שום דבר","No","No","No","No","No","Yes","","1","4","1","5","5","1","3","3","3","5","1","1","1","1","1","1","1","1","5",
"04/01/2025 08:31PM","04/01/2025 08:33PM","04/01/2025 05:00PM - 04/01/2025 11:00PM",117.245,"6","1","Finished","67e56a2a8cd70bc4d83b1af8","0.0","0.0","no","-","10.100.102.5","Participant 18","1","1","1","שהכיתה שלי לא התארגנה על מתיחות לאחד באפריל","No","No","No","No","No","Yes","","1","1","1","1","5","1","5","5","5","5","1","1","1","1","5","1","1","2","5",
"04/02/2025 09:36PM","04/02/2025 09:38PM","04/02/2025 05:00PM - 04/02/2025 11:00PM",134.292,"7","1","Finished","67e56a2a8cd70bc4d83b1af8","0.0","0.0","no","-","10.100.102.5","Participant 18","1","1","1","שילד צעק עליי שלא עשיתי משהו טוב בכדורסל","No","No","No","No","No","Yes","","1","6","1","1","7","1","5","3","4","5","1","1","1","1","1","1","1","1","6",
"04/03/2025 09:49PM","04/03/2025 09:52PM","04/03/2025 05:00PM - 04/03/2025 11:00PM",200.819,"8","1","Finished","67e56a2a8cd70bc4d83b1af8","0.0","0.0","no","-","10.100.102.5","Participant 18","1","1","1","שהעתיקו ממני תשובות בחידון","No","No","No","No","No","Yes","","1","4","1","1","5","1","4","2","5","5","1","1","1","1","1","1","1","1","5",
"03/28/2025 06:47PM","03/28/2025 06:52PM","03/28/2025 05:00PM - 03/28/2025 11:00PM",281.294,"2","1","Finished","67e598bb8cd70bc4d8406ea5",,,"no","-","100.104.135.125","Participant 19","1","6","1","אבא צעק עלי","Yes","No","No","No","No","No","","1","1","1","1","6","3","2","1","1","2","1","4","6","1","4","7","6","5","4",
"03/29/2025 06:30PM","03/29/2025 06:36PM","03/29/2025 05:00PM - 03/29/2025 11:00PM",337.591,"3","1","Finished","67e598bb8cd70bc4d8406ea5",,,"no","-","10.0.0.11","Participant 19","7","4","4","הילה (אחותי), אבא, אמא.","Yes","No","No","No","No","No","הלכתי מאותו האזור ","7","1","6","1","2","7","1","1","1","1","1","4","4","1","1","7","6","4","5",
"03/30/2025 09:16PM","03/30/2025 09:19PM","03/30/2025 05:00PM - 03/30/2025 11:00PM",175.243,"4","1","Finished","67e598bb8cd70bc4d8406ea5",,,"no","-","10.0.0.11","Participant 19","1","3","1","לא התעצבנתי ","No","No","No","No","No","Yes","","1","7","1","1","7","1","1","1","1","1","1","7","7","1","1","1","1","1","7",
"03/31/2025 10:12PM","03/31/2025 10:16PM","03/31/2025 05:00PM - 03/31/2025 11:00PM",254.724,"5","1","Finished","67e598bb8cd70bc4d8406ea5",,,"no","-","10.0.0.11","Participant 19","2","5","1","שאחותי נתנה לי מרפקים לצלה","No","No","No","No","No","Yes","","7","1","6","1","3","1","1","1","1","1","1","1","4","1","1","5","6","1","6",
"04/02/2025 10:10PM","04/02/2025 10:13PM","04/02/2025 05:00PM - 04/02/2025 11:00PM",181.298,"7","1","Finished","67e598bb8cd70bc4d8406ea5",,,"no","-","100.102.181.226","Participant 19","5","1","1","לא התעצבנתי ","No","No","No","No","No","Yes","","1","1","1","1","7","1","5","1","1","5","1","1","7","1","1","6","1","1","7",
"04/03/2025 06:57PM","04/03/2025 07:03PM","04/03/2025 05:00PM - 04/03/2025 11:00PM",353.362,"8","1","Finished","67e598bb8cd70bc4d8406ea5",,,"no","-","10.0.0.11","Participant 19","7","5","1","ילד מהכיתה שלי לקח לי את הכדור פינגווין פונג","Yes","No","Yes","No","Yes","No","קיללתי ","7","1","7","1","1","7","7","1","4","7","1","1","1","1","4","7","7","7","7",
"03/31/2025 07:45PM","03/31/2025 07:47PM","03/31/2025 05:00PM - 03/31/2025 11:00PM",153.347,"2","1","Finished","67e983c78cd70bc4d87b0a16","0.0","0.0","no","-","2a0d:6fc0:2a27:e900:c47c:d2a:a763:39d7","Participant 20","1","1","2","עיצבן אותי שקבענו חברים ללכת לים והיה חבר אחד שאמר שלא הולכים אבל בסוף הלכנו ","Yes","No","No","No","Yes","No","","1","5","1","2","7","1","7","1","1","1","1","7","5","1","1","1","4","1","7",
"04/01/2025 08:24PM","04/01/2025 08:26PM","04/01/2025 05:00PM - 04/01/2025 11:00PM",113.389,"3","1","Finished","67e983c78cd70bc4d87b0a16","0.0","0.0","no","-","192.168.1.230","Participant 20","1","1","1","שלא קיבלתי פס שהיה אמור להסתיים בגול ","No","No","No","No","No","Yes","","5","6","1","1","6","1","5","1","7","1","1","2","1","1","1","1","1","1","7",
"04/02/2025 09:22PM","04/02/2025 09:24PM","04/02/2025 05:00PM - 04/02/2025 11:00PM",137.271,"4","1","Finished","67e983c78cd70bc4d87b0a16","0.0","0.0","no","-","192.168.1.230","Participant 20","1","1","1","לא זוכר ","No","No","No","No","Yes","No","","3","6","3","2","5","5","7","3","1","3","1","1","4","1","1","7","1","1","7",
"04/03/2025 08:30PM","04/03/2025 08:32PM","04/03/2025 05:00PM - 04/03/2025 11:00PM",108.49,"5","1","Finished","67e983c78cd70bc4d87b0a16","0.0","0.0","no","-","2a02:14f:389:1399:f130:a18f:3124:3e61","Participant 20","7","7","2","המאמן שלי ","No","No","No","No","No","Yes","","5","2","1","2","4","5","2","2","2","4","1","5","1","1","1","1","1","6","2",
"04/04/2025 08:37PM","04/04/2025 08:39PM","04/04/2025 05:00PM - 04/04/2025 11:00PM",91.633,"6","1","Finished","67e983c78cd70bc4d87b0a16","0.0","0.0","no","-","2a02:14f:391:e3a3:14a5:7cf3:ab32:377c","Participant 20","6","1","1","שילדים במגרש כדורגל שיקרו שהם שכרו מגרש ","No","No","No","No","No","Yes","","1","1","1","1","7","1","5","1","1","5","1","3","1","1","1","3","1","1","7",
"04/05/2025 10:42PM","04/05/2025 10:44PM","04/05/2025 05:00PM - 04/05/2025 11:00PM",82.45,"7","1","Finished","67e983c78cd70bc4d87b0a16","0.0","0.0","no","-","2a0d:6fc0:2a27:e900:a159:bb77:686b:3129","Participant 20","1","1","1","דניאל אברס ","No","No","No","No","No","Yes","","1","3","1","4","6","1","1","2","1","1","1","1","1","1","1","1","1","1","7",
"04/06/2025 05:35PM","04/06/2025 05:37PM","04/06/2025 05:00PM - 04/06/2025 11:00PM",99.866,"8","1","Finished","67e983c78cd70bc4d87b0a16","0.0","0.0","no","-","2a02:14f:398:35bf:8d8:ad64:b024:e9f2","Participant 20","1","1","1","כלום אני באילת חי תחלום ","No","No","No","No","No","Yes","","1","5","1","6","6","5","5","5","5","1","1","1","1","1","1","1","1","1","7",
"04/08/2025 07:11PM","04/08/2025 07:15PM","04/08/2025 05:00PM - 04/08/2025 11:00PM",250.292,"2","1","Finished","67ed349914f74b844501d3ad",,,"no","-","10.100.102.8","Participant 21","1","1","1","לא היה משהו שעצבן אותי היום","No","No","No","No","No","Yes","","4","1","1","1","7","1","1","1","1","1","1","5","7","1","1","3","2","1","6",
"04/10/2025 05:27PM","04/10/2025 05:29PM","04/10/2025 05:00PM - 04/10/2025 11:00PM",136.164,"4","1","Finished","67ed349914f74b844501d3ad",,,"no","-","10.100.102.8","Participant 21","1","1","1","אמרתי בבוקר, חוץ מזה לא כעסתי","No","No","No","No","No","Yes","","1","1","1","1","5","1","1","1","7","1","1","6","6","1","1","1","1","1","6",
"04/12/2025 10:01PM","04/12/2025 10:05PM","04/12/2025 05:00PM - 04/12/2025 11:00PM",229.79,"2","1","Finished","67ed6c7f14f74b844506a915",,,"no","-","192.168.8.148","Participant 22","1","4","1","אח שלי מרמה בפוצ׳יבולי ","No","No","No","No","No","Yes","","2","2","3","2","4","2","1","2","6","4","3","2","2","3","1","1","1","1","6",
"04/13/2025 10:16PM","04/13/2025 10:19PM","04/13/2025 05:00PM - 04/13/2025 11:00PM",190.193,"3","1","Finished","67ed6c7f14f74b844506a915",,,"no","-","192.168.8.148","Participant 22","1","2","2","האחים שלי","No","No","No","No","No","Yes","","3","2","4","1","6","1","3","4","7","4","1","3","1","1","1","1","1","1","6",
"04/14/2025 05:06PM","04/14/2025 05:10PM","04/14/2025 05:00PM - 04/14/2025 11:00PM",274.844,"4","1","Finished","67ed6c7f14f74b844506a915",,,"no","-","192.168.100.55","Participant 22","1","6","1","אחים שלי","No","No","No","No","No","Yes","","2","7","1","1","6","1","2","3","7","5","1","3","1","5","1","1","1","4","6",
"04/15/2025 05:14PM","04/15/2025 05:19PM","04/15/2025 05:00PM - 04/15/2025 11:00PM",245.65,"5","1","Finished","67ed6c7f14f74b844506a915",,,"no","-","192.168.100.55","Participant 22","3","7","2","נסיעה ארוכה ","No","No","No","No","No","Yes","","1","3","1","2","6","1","3","6","6","2","1","3","2","2","2","1","2","1","4",
